"Accident No","Accident type","Site/area
","Country
","Details
","Web reference/link
","Year","Month","Day","Turbine Type","Manufacturer","Power of Turbine (KW)","PowerOfWindFarm (KW)","Offshore","During Construction","FULL-DATE","Outcome","Death","Fire","Injury","Mechanical","Structural Break","Transport Accident","Component","Cause","CauseCategory","Source Database","Source of the News","Title of the article"
"11","Wind","Illinois","USA","The homeowner was trying to install the generator himself.","http://www.wind-works.org/cms/index.php?id=402&tx_ttnews[tt_news]=161&cHash=2ddc820262e13967088592d42d41f5b7","1993","1","1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","1","January 1, 1993","Death","1","0","0","0","0","0","Tower","Mechanical","Mechanical","LexisNexis","wind-works.org","Vanessa Skarski's account ıf her father's death on a small wind turbine"
"12","Wind","Bakersfield","USA","The single most significant factor leading to the accident was STS' method of attaching the guy cables to the anchors. In fact, the guy cables were never directly attached to the guy anchors or the guy anchor turnbuckles. Instead, the guy cables were attached to a cam-actuated cable grip and they are not designed or intended for use where their ability to release under compression will endanger someone.","http://www.wind-works.org/articles/Aagaard.html","1999","10","23","BWC Excel 10 KW","BWC","10 KW","UNKNOWN","0","1","October 23, 1999","Injury","0","0","1","0","0","0","UNKNOWN","Mechanical","Mechanical","LexisNexis","wind-works.org","Steen Aagard's crippling fall"
"13","Wind","San Diego","USA","Terry Mehrkam was struck by one of the blades after falling from a platform.","http://www.wind-works.org/cms/index.php?id=402&tx_ttnews[tt_news]=163&cHash=13a235437b7c7742232938d7294799f3","1981","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","0","UNKNOWN","Death","1","0","0","0","0","0","Blade","Human","Human","LexisNexis","wind-works.org","Lessons from the death f Terry Merkam"
"14","Wind","Brandenburg","Germany","A 25-year old technician fell inside a 100-meter tall Enercon E66 tower, struck his head, and died according to an account in a local German newspaper.","http://www.wind-works.org/articles/FallfromE66.html","2003","10","16","Enercon","Enercon","UNKNOWN","UNKNOWN","0","0","October 16, 2003","Death","1","0","0","0","0","0","Tower","Human","Human","LexisNexis","wind-works.org","Man falls to death from E66 in Germany"
"15","Wind","Scansano","Italy","The blades of all ten turbines were repaired in the summer of 2009. One of them did not survive the first storm.","http://www.wind-watch.org/pix/displayimage.php?pos=-539","2009","11","20","Gamesa 2000 KW","Gamesa","2000","20000","0","0","November 20, 2009","Structural break","0","0","0","0","1","0","Blade","Nature (storm)","Nature","LexisNexis","wind-watch.org","Scansano broken blade"
"16","Wind","North Dakota","USA","Bolt failures caused a wind turbine’s rotor and blades to fall from a tower.","http://www.wind-watch.org/news/2011/03/24/rugby-wind-turbine-accident-pegged-to-bolt-failure/","2011","3","14","Suzlon","Suzlon","UNKNOWN","UNKNOWN","0","0","March 24, 2011","Structural break","0","0","0","0","1","0","Bolt","Mechanical","Mechanical","LexisNexis","wind-watch.org","Rugby wind turbine accident pegged to bolt failure"
"17","Wind","UNKNOWN","Brazil","The crane was working with luffing jib and Y-Guy boom support, the stresses were such that the boom buckled and broke with the boom nose and jib base coming down on the operators cab.","http://www.vertikal.net/en/news/story/12835/","2011","7","20","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","0","July 20, 2011","Structural break","0","0","0","0","1","0","Crane","Mechanical","Mechanical","LexisNexis","Vertikal.net","Wind farm accident"
"18","Wind","Tongliao","China","An engineer has died and another classed as missing after a wind turbine made by China’s CSR caught fire in Inner Mongolia.","https://www.wind-watch.org/news/2012/02/23/update-one-dead-one-missing-after-china-turbine-blaze/","2012","2","7","Dongfang Turbine 1500 KW","Dongfang Turbine","1500 KW","49500 KW","0","0","February 7, 2012","Death & Fire","1","1","0","0","1","0","UNKNOWN","UNKNOWN","UNKNOWN","LexisNexis","wind-watch.org","Update: One dead one  missing after China turbine blaze"
"19","Wind","Aarhus","Denmark","Turbine spins out of control during a storm, effectively explodes when one of the blades hits the tower.","http://www.wind-watch.org/video-turbinecollapses.php ","2008","2","22","Vestas 600 KW","Vestas","600","UNKNOWN","0","0","February 22, 2008","Structural break","0","0","0","0","1","0","Blade","Nature (storm)","Nature","LexisNexis","wind-watch.org","Wind turbine breaks up in storm"
"20","Wind","Gansu","China","The incident occured when the arm of the 1,000-ton crane, toppled and fell down suddenly in a trial operation to lift a wind turbine. Five people were killed after being crushed beneath the crane.","http://www.windpowermonthly.com/news/1098230/Five-killed-during-Sinovel-5MW-installation/ ","2011","10","11","Sinovel","Sinovel","UNKNOWN","5000","0","1","October 11, 2011","Death","1","0","0","0","1","0","Crane","Mechanical","Mechanical","LexisNexis","windpowermonthly.com","Five killed during sinovel 5MW construction preparation"
"21","Wind","Solano County, California","USA","The victim was cleaning inside the turbine’s tower and he unintentionally touched several electrical wires inside the turbine, resulting in a jolt of approximately 110 volts of electricity traveling through his body.","http://www.wind-watch.org/news/2012/02/09/man-electrocuted-while-cleaning-wind-turbine-in-solano-county/ ","2012","2","8","Kenetech 100 KW","Kenetech","100","60000","0","0","August 2, 2012","Injury","0","0","1","0","0","0","Tower","Human","Human","LexisNexis","wind-watch.org","Man electrocuted while cleaning wind turbine in Solano County"
"22","Wind","Rochester, MN","USA","Two workers constructing a wind turbine tower were injured when a 60-foot section of the tower laying on the ground accidentally rolled on top of the men.","http://www.postbulletin.com/news/stories/display.php?id=1440978 ","2011","1","14","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","0","1","January 14, 2011","Injury","0","0","1","0","0","0","Tower","UNKNOWN","UNKNOWN","LexisNexis","postbulletin.com","Workers suffer cracked pelvises when turbine tower rolls on them"
"23","Wind","Melbourne","Australia","Man in his 20s suffered chest and pelvic injuries after being caught by a turbine blade at the wind farm.","http://www.bloomberg.com/news/2012-04-02/vestas-says-person-injured-at-australia-s-macarthur-wind-farm.html","2012","4","2","Vestas 3000 KW","Vestas","3000","420000","0","1","April 2, 2012","Injury","0","0","1","0","0","0","Blade","Human","Human","LexisNexis","Rechargenews.com","Vestas says worker injured at Australia's Macarthur wind farm"
"24","Wind","Osceola County, Florida","USA","Man has died after falling nearly 60 feet from a wind turbine he was climbing in Osceola County.","https://www.wind-watch.org/news/2011/08/25/spirit-lake-ia-man-dies-after-falling-from-wind-turbine/","2011","8","22","Clipper 2500 KW","Clipper","2500","UNKNOWN","0","0","August 22, 2011","Death","1","0","0","0","0","0","Tower","Human","Human","LexisNexis","ktiv.com","Spirit lake man dies after falling from wind turbine"
"25","Wind","Sibley, Iowa","USA","The fatal accident occurred when a crane carrying a Micon nacelle stalled then toppled over.","http://www.windpowermonthly.com/news/962396/Crane-accident/?DCMP=ILC-SEARCH","1997","7","UNKNOWN","Micon 600 KW","Micon","600","UNKNOWN","0","0","UNKNOWN","Death","1","0","0","0","1","0","Crane","Mechanical","Mechanical","LexisNexis","windpowermonthly.com","Crane accident"
"26","Wind","UNKNOWN","Denmark","The turbine is one of only three prototypes without an automatic braking system which were installed in 1989,"" explains Stiesdal. ""Only these three have just a manual brake with hydraulically operated air brakes on the blade tips."" It appears a brake failure was the cause of the accident. The turbine over-speeded in winds of 15-20 m/s and one of the blades hit the tower, bringing the whole structure down.","http://www.windpowermonthly.com/news/961560/One-off-accident/?DCMP=ILC-SEARCH","1994","3","24","300 KW","UNKNOWN","300","UNKNOWN","0","0","March 24, 1994","Structural break","0","0","0","0","1","0","Tower","Mechanical (lack of automatical breaking system)","Mechanical","Google","windpowermonthly.com","One-off accident"
"27","Wind","Tarifa","Spain","Blades from two early generation AWP 56/100 turbines in Tarifa fell off last month, sparking fears among neighbours about the safety of wind farms.","http://www.windpowermonthly.com/news/959905/BLADE-ACCIDENT-UNUSUAL/?DCMP=ILC-SEARCH","1995","6","UNKNOWN","AWP 56 100 KW","UNKNOWN","100","UNKNOWN","0","0","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","UNKNOWN","UNKNOWN","LexisNexis","windpowermonthly.com","Blade accident was unusual"
"28","Wind","Boulogne","France","A 750 kW model at the Le Portel Plage wind station near Boulogne. A blade problem is being put forward as the most likely reason why the turbine buckled at its centre section in the early hours of January 1.","http://www.windpowermonthly.com/news/962675/Two-turbines-fall-down-France---Unrelated-failures/?DCMP=ILC-SEARCH","2004","1","1","Lagerwey 750 KW","Lagerway","750","UNKNOWN","0","0","January 1, 2004","Structural break","0","0","0","0","1","0","Blade","Mechanical","Mechanical","LexisNexis","windpowermonthly.com","Two turbines fall down in France"
"29","Wind","Dunkirk","France","An older 300 kW model was brought down by gusts of winds reaching 31 m/s (110 kmh) at Dunkirk on March 20. Early investigations have identified weak foundations as the cause.","http://www.windpowermonthly.com/news/962675/Two-turbines-fall-down-France---Unrelated-failures/?DCMP=ILC-SEARCH","2004","3","20","Lagerwey 300 KW","Lagerway","300","UNKNOWN","0","0","March 20, 2004","Structural break","0","0","0","0","1","0","UNKNOWN","Nature (strong wind)","Nature","LexisNexis","windpowermonthly.com","Two turbines fall down in France"
"30","Wind","Edinburgh,Scotland","UK","The first Carter 300 kW turbine to have been erected in Britain crashed to the ground on the evening of March 12 in only moderate winds. A failed padlock, which locked the tilt-down tower's main pin into place, was the cause of the accident, claims Andy Gibbs, a former partner in Carter Wind Turbines Ltd of England, the UK arm of the American company.","http://www.windpowermonthly.com/news/959828/Carter-crash-Scotland/?DCMP=ILC-SEARCH","1994","3","12","Carter 300 KW","Carter","300","UNKNOWN","0","0","December 3, 1994","Structural break","0","0","0","0","1","0","Tower","Nature (strong wind)","Mechanical","LexisNexis","windpowermonthly.com","Carter crash in Scotland"
"31","Wind","Finnmark","Norway","The turbine ran out of control until the nacelle and rotor fell off the tower. Tip speed was measured at 663 kilometres per hour at the time of the accident, compared with a maximum limit of 289 kph.","http://www.windpowermonthly.com/news/954257/Human-error-behind-Nordex-turbine-failure/?DCMP=ILC-SEARCH","2002","UNKNOWN","UNKNOWN","Nordex 2500 KW","Nordex","2500","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","Human","Human","LexisNexis","windpowermonthly.com","Human error behind Nordex turbine failure"
"32","Wind","Kincardine, Ontario","Canada","The grid connected turbine was destroyed, along with control and monitoring equipment in an adjacent shed. The tubular tower experienced metal failure in a crack around its circumference about one centimetre above a weld,which connected a flange to the tower base.","http://www.windpowermonthly.com/news/957263/TURBINE-TOPPLED/?DCMP=ILC-SEARCH","1995","11","28","Lagerwey 18 80 KW","Lagerway","80","UNKNOWN","","","November 28, 1995","Structural break","0","0","0","0","1","0","Tower","Mechanical","Mechanical","LexisNexis","windpowermonthly.com","Turbine toppled"
"33","Wind","Pennsylvania","USA","A Danish contractor working on a wind turbine fell to his death at FPL Energy's 30 MW Meyersdale wind farm, a facility installed just last year in Pennsylvania. Niels Otto Anderson Sjølander was working for Vestas Wind Systems and had just completed repairs on a NEG Micon 1.5 MW turbine when the turbine's blade unexpectedly turned.","http://www.windpowermonthly.com/news/957527/Danish-contractor-dies-fall-turbine-FPL-site/?DCMP=ILC-SEARCH","2004","10","1","NEG Micon 1500 KW","Micon","1500","UNKNOWN","0","0","January 10, 2004","Death","1","0","0","0","0","0","Blade","Human","Human","LexisNexis","windpowermonthly.com","Danish contractor dies in fall from turbine at FPL site"
"34","Wind","Oosterbierum","Netherlands","On the morning of April 1, one of the experimental 300 kW Holec turbines lost its blades in strong winds, almost exactly a year after a similar accident.","http://www.windpowermonthly.com/news/960374/Holec-turbine-lost-its-blades/?DCMP=ILC-SEARCH","1994","4","1","Holec 300 KW","Holec","300","UNKNOWN","0","0","January 4, 1994","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","LexisNexis","windpowermonthly.com","Holec turbine lost its blades"
"35","Wind","Iowa","USA","The worker fell while inside the tower of the Clipper Windpower 2.5MW Liberty turbine located at the Endeavor wind centre. Reports say he fell over 60 feet. The reasons behind the accident are unknown.","http://www.windpowermonthly.com/news/1086982/Wind-farm-worker-killed-inside-Iowa-wind-turbine/?DCMP=ILC-SEARCH","2011","8","UNKNOWN","Clipper Liberty 2500 KW","Clipper","2500","UNKNOWN","0","0","UNKNOWN","Death","1","0","0","0","0","0","UNKNOWN","UNKNOWN","UNKNOWN","LexisNexis","windpowermonthly.com","Wind farm worker killed inside Iowa wind turbine"
"36","Wind","Wyoming","USA","The 4 MW Hamilton Standard wind turbine in Wyoming self-destructed in a catastrophic accident last month and will not be repaired. The mammoth machine, the last of its generation and America's largest, had been operating at about 90% availability and was generating almost eight million kWh until the accident on January 14, says co-owner Glidden Doman.","http://www.windpowermonthly.com/news/955603/Mammoth-declared-extinct/?DCMP=ILC-SEARCH","1994","1","14","Hamilton Standard 4000 KW","Hamilton","4000","UNKNOWN","0","0","January 14, 1994","Structural break","0","0","0","0","1","0","UNKNOWN","Mechanical","Mechanical","LexisNexis","windpowermonthly.com","Mammoth declared extinct"
"37","Wind","Shangyi County","China","The incident began when one of the three workers suffered an electric shock in the nacelle. The other two workers were badly injured from the resulting fire and died later in hospital.","http://www.windpowermonthly.com/news/1048294/Three-wind-turbine-workers-killed-Sinovel-incident/?DCMP=ILC-SEARCH","2011","1","UNKNOWN","Sinovel","Sinovel","UNKNOWN","UNKNOWN","0","1","UNKNOWN","Death","1","0","0","0","0","0","Blade","UNKNOWN","UNKNOWN","LexisNexis","windpowermonthly.com","Three wind turbine workers killed in Sionvel accident"
"38","Wind","Saint-Thégonnec","France","On a calm night in early October a blade fell off a 15 year old Belgian Windmaster 300 kW machine, one of five installed at Saint-Thégonnec and Pleyber-Christ in the Finistère département of northern France.","http://www.windpowermonthly.com/news/962171/Wind-opponents-failures-old-wind-turbines/?DCMP=ILC-SEARCH","2006","10","UNKNOWN","Windmaster 300 KW","Windmaster","300","UNKNOWN","0","0","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","LexisNexis","windpowermonthly.com","Wind opponents ake much of failures of old wind turbines"
"39","Wind","Christchurch","New Zealand","A massive directional change in strong winds caused nine tonnes of nacelle to come crashing down from atop the prototype Windflow Technology turbine operating just outside Christchurch, fortunately missing the two engineers working at the base of the tower.","http://www.windpowermonthly.com/news/956145/Nacelle-prototype-wind-turbine-crashed-down-high-winds/?DCMP=ILC-SEARCH","2005","3","10","Windflow","Windflow","UNKNOWN","UNKNOWN","0","0","October 3, 2005","Structural break","0","0","0","0","1","0","Nacelle","Nature (strong wind)","Nature","LexisNexis","windpowermonthly.com","Nacelle on prototype wind turbine crashed down in high winds"
"40","Wind","Whitelee,Scotland","UK","The incident happened at Europe's largest wind farm, Siemens said an examination of the broken blade revealed a ""material defect in the laminate"". The company said there could be the result of changes to the manufacturing process.","http://www.windpowermonthly.com/news/994789/Siemens-extends-23MW-turbine-investigation-amid-defect-concern/?DCMP=ILC-SEARCH","2010","3","19","Siemens 2300 KW","Siemens","2300","32000","0","0","March 19, 2010","Structural break","0","0","0","0","1","0","Blade","Mechanical","Mechanical","LexisNexis","windpowermonthly.com","Siemens extends 2.3 Mw turbine investigation amid defect concern"
"41","Wind","Harenkarspel","Netherlands","A 23 metre blade came off an eight-year-old V47 660 kW machine installed at Windpark Tuitjenhorn in the province of Noord-Holland. During the failure, which occurred on May 13 at 10 pm, a section of the blade landed on the nearby N245 road between the villages of Oudkarspel and Dirkshorn in the community of Harenkarspel. With the road quiet at that time of night, no one was hurt, but the road was closed for some time.","http://www.windpowermonthly.com/news/953829/Blade-thrown-public-road/?DCMP=ILC-SEARCH","2008","5","13","Vestas 660 KW","Vestas","660","6000","0","0","May 13, 2008","Structural break","0","0","0","0","1","0","Blade","UNKNOWN","UNKNOWN","LexisNexis","windpowermonthly.com","Blade thrown into public road"
"42","Wind","North Wales","UK","A barge worth £50 million toppled into the sea and sank as it was being towed to the site of an offshore North Wales windfarm. The barge was carrying giant cranes set to carry out vital work at the windfarm when it was lost overboard and sank to the bottom of the Atlantic.","http://www.windaction.org/news/18767","2008","11","UNKNOWN","Siemens 3600 KW","Siemens","3600","90000","1","1","UNKNOWN","Transportation accident","0","0","0","0","1","1","Crane","UNKNOWN","UNKNOWN","Google","windaction.org","£50m windfarm barge sinks on way to North Wales"
"43","Wind","Lower Saxony","Germany","The cause of the 3 p.m. blaze, which is burning out under controlled conditions, hasn’t been determined","http://www.bloomberg.com/news/2012-03-30/vestas-says-turbine-catches-fire-at-gross-eilstorf-wind-farm.html","2012","3","30","Vestas 3000 KW","Vestas","3000","UNKNOWN","0","0","March 30, 2012","Fire","0","1","0","0","0","0","Tower","Nature","Nature","Google","Bloomberg","Vestas wind turbine catches fire in Germany "
"44","Wind","Schneeberg","Germany","The incident is caused by a break in the foundation flange after an unauthorised welding. Vestas further says the accident, which caused only material damage, happened during a test of the turbine's emergency stop system.","http://www.windpowermonthly.com/news/950617/Vestas-2-MW-V80-failure-blamed-faulty-welding/?DCMP=ILC-SEARCH","2003","12","18","Vestas 2000 KW","Vestas","2000","UNKNOWN","0","1","December 18, 2003","Structural break","0","0","0","0","1","0","Tower","Mechanical (faulty welding)","Mechanical","LexisNexis","windpowermonthly.com","Vestas 2 MW V80 failure blamed on faulty welding"
"45","Wind","Inner Mongolia","China","The wind farm, undergoing an overhaul when one of the turbines caught fire. Two maintenance personnel were in the nacelle eliminating frequency converter faults. Two engineers died.","http://www.windpowermonthly.com/news/1118311/CSR-turbine-fire-kills-two-workers-Inner-Mongolia/?DCMP=ILC-SEARCH","2012","2","7","CSR 2500 KW","CSR","2500 KW","UNKNOWN","0","0","April 2, 2012","Death & Fire","1","1","0","0","1","0","Tower","UNKNOWN","UNKNOWN","LexisNexis","windpowermonthly.com","CSR turbine fire kills two workers in Inner Mongolia"
"46","Wind","Helgoland Island","Germany","The WKA 60 1.2 MW turbine on the island of Helgoland is to be dismantled after again being struck by lightning. Considerable damage was caused.","http://www.windpowermonthly.com/news/953778/KWA-60-DISMANTLED/?DCMP=ILC-SEARCH","1995","UNKNOWN","UNKNOWN","WKA 60 1200 KW","WKA","1200","295000","0","0","UNKNOWN","Structural break","0","0","0","0","1","0","Tower","Nature (lightening strike)","Nature","LexisNexis","windpowermonthly.com","KWA 60 to be dismantled"
"47","Wind","Southwest of Paris","France","A 46-metre blade has fallen off a Repower 2MW turbine at a project alongside the A10 motorway","http://www.windpowermonthly.com/channel/technology/news/1133579/Blade-snaps-off-Repower-2MW-motorway-turbine/","2012","5","18","Repower 2000 KW","Repower","2000","52000","0","0","May 24, 2012","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","LexisNexis","windpowermonthly.com","Blade snaps off repower 2 MW motorway turbine"
"48","Wind","Lemvig","Denmark","When the blades were being removed the entire nacelle fell to the ground","http://www.windpowermonthly.com/news/962007/Fatal-accident-during-wind-turbine-dismantling/?DCMP=ILC-SEARCH","1997","11","6","900 KW","UNKNOWN","900","900","0","1","November 6, 1997","Death","1","0","0","0","1","0","Nacelle","Structural (dismantling)","Structural","LexisNexis","windpowermonthly.com","Fatal accident during wind turbine dismantling"
"49","Wind","Iwaya","Japan","At the time of the collapse, in which the turbine tipped over from its base, winds were 20 m/s and the machine was switched off","http://www.windpowermonthly.com/news/956512/Unknown-cause-Siemens-turbine-collapse-Iwaya-wind-farm/?DCMP=ILC-SEARCH","2007","1","1","Siemens 1300 KW","Siemens","1300","32500","0","0","January 1, 2007","Structural break","0","0","0","0","1","0","Tower","UNKNOWN","UNKNOWN","LexisNexis","windpowermonthly.com","Unknown cause of Siemens turbine collapse at Iwaya wind farm"
"50","Wind","Lammermuir Hills,Scotland","UK","The 38.8m (127 ft) blade, weighing over 7 tons, broke up at high speed in a gale, throwing debris for a considerable distance.","http://www.windbyte.co.uk/safety.html","2005","4","UNKNOWN","Nordex 2500 KW","Nordex","2500","50000","0","0","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","windbyte.co.uk","Catastrophic blade failure at crystal rig"
"51","Wind","Schleswig-Holstein","Germany","HSW 250 kW throws blades","http://www.windpowermonthly.com/news/962965/HSW-250-kW-throws-blades/?DCMP=ILC-SEARCH","1997","2","18","HSW 250 KW","HSW","250","UNKNOWN","0","0","February 18, 1997","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","LexisNexis","windpowermonthly.com","HS 250 KW throws blades"
"52","Wind","Husum","Germany","The nacelle and blades of the turbine crashed to the ground from the 42 metre concrete tower. Nobody was injured.","http://www.windpowermonthly.com/news/954388/Nacelle-rotor-topple-tower/?DCMP=ILC-SEARCH","1998","3","UNKNOWN","Enercon 500 KW","Enercon","500","5500","0","0","UNKNOWN","Structural break","0","0","0","0","1","0","Blade & Nacelle","Nature (strong wind)","Nature","LexisNexis","windpowermonthly.com","Nacelle and rotor topple from tower"
"53","Wind","Jiuquan","China","The omission of a component in a cost-saving measure was responsible for the cascading disconnection of almost 600 turbines in February","http://www.windpowermonthly.com/news/1067477/Human-error-blamed-Chinese-turbine-shutdown/?DCMP=ILC-SEARCH","2011","2","24","1500 KW","UNKNOWN","1500","890000","0","0","February 24, 2011","Structural break","0","0","0","0","1","0","Power grid","Mechanical","Mechanical","LexisNexis","windpowermonthly.com","Human error blamed for Chinese turbine shutdown"
"54","Wind","Kaiser-Wilhelm-Koog","Germany","A prototype 600 kW machine designed by Aerodyn Energiesysteme and built by Husumer Schiffswerft (HSW) ran out of control and fell apart.","http://www.windpowermonthly.com/news/950789/Fatal-report-Kaiser-Wilhelm-Koog/?DCMP=ILC-SEARCH","1997","4","UNKNOWN","600 KW","UNKNOWN","600","UNKNOWN","0","0","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","Mechanical","Mechanical","LexisNexis","windpowermonthly.com","Fatal report at Kaiser Wilhelm Koog"
"55","Wind","Midwestern","USA","Iberdrola stopped production at its 150MW wind farm at Rugby, North Dakota after the blades fell off","http://www.worldwindpower.net/index.php?wid=7&cid=5969","2011","3","14","Suzlon 2100 KW","Suzlon","2100","149100","0","0","March 14, 2011","Structural break","0","0","0","0","1","0","Blade","UNKNOWN","UNKNOWN","Google","worldwindpower.net","Blades fall off Suzlon turbines at US plant"
"56","Wind","East Renfrewshire","UK","A massive windfarm was shut down after a giant turbine blade broke and fell to the ground.","http://www.thescottishsun.co.uk/scotsol/homepage/news/2903276/Mystery-over-broken-blade-shuts-Scottish-windfarm.html","2010","3","19","Siemens 2300 KW","Siemens","2300","322000","0","0","March 19, 2010","Structural break","0","0","0","0","1","0","Blade","UNKNOWN","UNKNOWN","Google","thescottishsun.co.uk","That’s blown it"
"57","Wind","Hepworth, Cumberworth, Huddersfield","UK","Huge turbine blades flew off three windmills as high winds lashed Huddersfield.","http://www.examiner.co.uk/news/local-west-yorkshire-news/2012/01/06/wind-turbines-ripped-apart-by-gale-force-winds-in-hudddersfield-86081-30069314/","2012","1","UNKNOWN","Evoko 10 KW","Evoko","10","UNKNOWN","0","0","UNKNOWN","Structural break","0","0","0","0","1","0","Blade","Nature (strong wind)","Nature","Google","examiner.co.uk","Wind turbines ripped apart by gale force winds in Hudddersfield"
"58","Wind","Sutherland, Scotland","UK","18m from the turbine. The damage may have been caused on damage may have been caused on Hogmanay.","http://www.northern-times.co.uk/News/Controversial-wind-turbines-blade-crashes-to-ground-7506746.htm","2011","12","31","Eoltec Scirocco 6 KW","Scirocco","6","UNKNOWN","0","0","December 31, 2011","Structural break","0","0","0","0","1","0","Blade","Mechanical","Mechanical","Google","windpowermonthly.com","Controversial wind turbine's blade crashes to ground"
